iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred
OWID_HIC,,High-income countries,2020-12-02,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OWID_HIC,,High-income countries,2020-12-03,,,,,,0.0,0.0,,1.0,1.0,0.0,0.0,,0.0,1.0,0.0
OWID_HIC,,High-income countries,2020-12-04,,,,,,1.0,1.0,,1.0,1.0,0.0,0.0,,0.0,1.0,0.0
OWID_HIC,,High-income countries,2020-12-05,,,,,,1.0,1.0,,1.0,1.0,0.0,0.0,,0.0,1.0,0.0
OWID_HIC,,High-income countries,2020-12-06,,,,,,1.0,1.0,,1.0,1.0,0.0,0.0,,0.0,1.0,0.0
OWID_HIC,,High-income countries,2020-12-07,,,,,,2.0,2.0,,1.0,1.0,0.0,0.0,,0.0,1.0,0.0
OWID_HIC,,High-income countries,2020-12-08,,,,,,7.0,7.0,,1.0,1.0,0.0,0.0,,0.0,1.0,0.0
OWID_HIC,,High-income countries,2020-12-09,,,,,,9.0,9.0,,1.0,1.0,0.0,0.0,,0.0,1.0,0.0
OWID_HIC,,High-income countries,2020-12-10,,,,,,10.0,10.0,,1.0,1.0,0.0,0.0,,0.0,1.0,0.0
OWID_HIC,,High-income countries,2020-12-11,,,,,,14.0,14.0,,4.0,1.0,0.0,0.0,,0.0,1.0,0.0
OWID_HIC,,High-income countries,2020-12-12,,,,,,15.0,15.0,,1.0,1.0,0.0,0.0,,0.0,1.0,0.0
OWID_HIC,,High-income countries,2020-12-13,,,,,,45635.0,36832.0,9669.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
OWID_HIC,,High-income countries,2020-12-14,,,,,,50488.0,41485.0,9833.0,4849.0,4849.0,0.0,0.0,0.0,4.0,4649.0,0.0
OWID_HIC,,High-income countries,2020-12-15,,,,,,99097.0,88627.0,10161.0,48607.0,27088.0,0.01,0.01,0.0,22.0,26255.0,0.002
OWID_HIC,,High-income countries,2020-12-16,,,,,,261555.0,246449.0,10679.0,162458.0,72474.0,0.02,0.02,0.0,58.0,70373.0,0.006
OWID_HIC,,High-income countries,2020-12-17,,,,,,541058.0,518960.0,11505.0,279503.0,124459.0,0.04,0.04,0.0,100.0,121136.0,0.01
OWID_HIC,,High-income countries,2020-12-18,,,,,,966142.0,934574.0,12831.0,425082.0,184663.0,0.08,0.07,0.0,148.0,180110.0,0.014
OWID_HIC,,High-income countries,2020-12-19,,,,,,1151512.0,1115525.0,13994.0,185298.0,184711.0,0.09,0.09,0.0,148.0,180181.0,0.014
OWID_HIC,,High-income countries,2020-12-20,,,,,,1266981.0,1228705.0,14817.0,115468.0,181122.0,0.1,0.1,0.0,145.0,176912.0,0.014
OWID_HIC,,High-income countries,2020-12-21,,,,,,1686873.0,1640910.0,16491.0,419892.0,245301.0,0.13,0.13,0.0,196.0,240022.0,0.019
OWID_HIC,,High-income countries,2020-12-22,,,,,,2188628.0,2133332.0,19508.0,501756.0,313161.0,0.18,0.17,0.0,250.0,306758.0,0.025
OWID_HIC,,High-income countries,2020-12-23,,,,,,2877956.0,2810475.0,22774.0,651715.0,384688.0,0.23,0.22,0.0,308.0,375847.0,0.03
OWID_HIC,,High-income countries,2020-12-24,,,,,,3171302.0,3098788.0,24022.0,294278.0,393305.0,0.25,0.25,0.0,315.0,384748.0,0.031
OWID_HIC,,High-income countries,2020-12-25,,,,,,3230977.0,3158258.0,24160.0,61024.0,333564.0,0.26,0.25,0.0,267.0,326333.0,0.026
OWID_HIC,,High-income countries,2020-12-26,,,,,,3411744.0,3335405.0,25230.0,182835.0,324010.0,0.27,0.27,0.0,259.0,316892.0,0.025
OWID_HIC,,High-income countries,2020-12-27,,,,,,3662486.0,3583219.0,26045.0,210609.0,335533.0,0.29,0.29,0.0,268.0,328243.0,0.026
OWID_HIC,,High-income countries,2020-12-28,,,,,,4442986.0,4344778.0,30543.0,773541.0,408865.0,0.36,0.35,0.0,327.0,400484.0,0.032
OWID_HIC,,High-income countries,2020-12-29,,,,,,5413695.0,5295498.0,36074.0,980431.0,495711.0,0.43,0.42,0.0,396.0,478484.0,0.038
OWID_HIC,,High-income countries,2020-12-30,,,,,,6554112.0,6415187.0,43806.0,1136833.0,571857.0,0.52,0.51,0.0,457.0,553414.0,0.044
OWID_HIC,,High-income countries,2020-12-31,,,,,,7254935.0,7105160.0,47377.0,711853.0,622321.0,0.58,0.57,0.0,498.0,602890.0,0.048
OWID_HIC,,High-income countries,2021-01-01,,,,,,7524830.0,7361526.0,56745.0,272439.0,636628.0,0.6,0.59,0.0,509.0,615299.0,0.049
OWID_HIC,,High-income countries,2021-01-02,,,,,,7965642.0,7792912.0,59864.0,473316.0,676493.0,0.64,0.62,0.0,541.0,654280.0,0.052
OWID_HIC,,High-income countries,2021-01-03,,,,,,8363395.0,8182005.0,62462.0,394898.0,688937.0,0.67,0.65,0.0,551.0,666062.0,0.053
OWID_HIC,,High-income countries,2021-01-04,,,,,,9478859.0,9237264.0,108210.0,1084653.0,744893.0,0.76,0.74,0.01,596.0,713135.0,0.057
OWID_HIC,,High-income countries,2021-01-05,,,,,,11586680.0,10416291.0,196854.0,1332389.0,839122.0,0.93,0.83,0.02,671.0,795578.0,0.064
OWID_HIC,,High-income countries,2021-01-06,,,,,,13114860.0,11611557.0,372350.0,1506032.0,897595.0,1.05,0.93,0.03,718.0,798446.0,0.064
OWID_HIC,,High-income countries,2021-01-07,,,,,,14858505.0,12985409.0,657570.0,1741188.0,1039375.0,1.19,1.04,0.05,831.0,884228.0,0.071
OWID_HIC,,High-income countries,2021-01-08,,,,,,16854748.0,14531770.0,1027195.0,1827674.0,1252479.0,1.35,1.16,0.08,1002.0,1035027.0,0.083
OWID_HIC,,High-income countries,2021-01-09,,,,,,17764025.0,15179927.0,1158538.0,985351.0,1328154.0,1.42,1.21,0.09,1062.0,1081597.0,0.086
OWID_HIC,,High-income countries,2021-01-10,,,,,,20989631.0,18702913.0,1875881.0,633197.0,1342884.0,1.68,1.5,0.15,1074.0,1081378.0,0.086
OWID_HIC,,High-income countries,2021-01-11,,,,,,22827873.0,20067388.0,2243098.0,1832739.0,1575206.0,1.83,1.6,0.18,1260.0,1302991.0,0.104
OWID_HIC,,High-income countries,2021-01-12,,,,,,24960933.0,21694441.0,2614009.0,2213645.0,1684916.0,2.0,1.73,0.21,1347.0,1367329.0,0.109
OWID_HIC,,High-income countries,2021-01-13,,,,,,27375847.0,23619263.0,2962990.0,2496507.0,1811285.0,2.19,1.89,0.24,1448.0,1458872.0,0.117
OWID_HIC,,High-income countries,2021-01-14,,,,,,29836670.0,25708870.0,3183086.0,2548841.0,1901746.0,2.39,2.06,0.25,1521.0,1546410.0,0.124
OWID_HIC,,High-income countries,2021-01-15,,,,,,32407699.0,27960763.0,3354922.0,2431056.0,1955620.0,2.59,2.24,0.27,1564.0,1618933.0,0.129
OWID_HIC,,High-income countries,2021-01-16,,,,,,33915759.0,29119015.0,3459365.0,1535756.0,1996041.0,2.71,2.33,0.28,1596.0,1656573.0,0.132
OWID_HIC,,High-income countries,2021-01-17,,,,,,35046451.0,29973244.0,3616845.0,1049678.0,2016031.0,2.8,2.4,0.29,1612.0,1662825.0,0.133
OWID_HIC,,High-income countries,2021-01-18,,,,,,37073155.0,31501437.0,4008257.0,1921334.0,2029652.0,2.96,2.52,0.32,1623.0,1671459.0,0.134
OWID_HIC,,High-income countries,2021-01-19,,,,,,39678777.0,33411464.0,4580680.0,2704234.0,2099405.0,3.17,2.67,0.37,1679.0,1714142.0,0.137
OWID_HIC,,High-income countries,2021-01-20,,,,,,42598750.0,35523995.0,5263144.0,3034398.0,2175898.0,3.41,2.84,0.42,1740.0,1745707.0,0.14
OWID_HIC,,High-income countries,2021-01-21,,,,,,45622808.0,37854800.0,5837734.0,3140876.0,2261927.0,3.65,3.03,0.47,1809.0,1785881.0,0.143
OWID_HIC,,High-income countries,2021-01-22,,,,,,48882686.0,40546904.0,6266650.0,2988952.0,2341330.0,3.91,3.24,0.5,1872.0,1839358.0,0.147
OWID_HIC,,High-income countries,2021-01-23,,,,,,50867392.0,42029199.0,6568131.0,2025637.0,2410510.0,4.07,3.36,0.53,1928.0,1881874.0,0.15
OWID_HIC,,High-income countries,2021-01-24,,,,,,52222420.0,42968785.0,6901067.0,1205604.0,2432281.0,4.18,3.44,0.55,1945.0,1884297.0,0.151
OWID_HIC,,High-income countries,2021-01-25,,,,,,54722670.0,44516941.0,7757326.0,2576364.0,2526076.0,4.38,3.56,0.62,2020.0,1912567.0,0.153
OWID_HIC,,High-income countries,2021-01-26,,,,,,57714994.0,46371451.0,8745924.0,3062328.0,2577036.0,4.62,3.71,0.7,2061.0,1900289.0,0.152
OWID_HIC,,High-income countries,2021-01-27,,,,,,60908609.0,48419302.0,9769096.0,3299770.0,2614659.0,4.87,3.87,0.78,2091.0,1887576.0,0.151
OWID_HIC,,High-income countries,2021-01-28,,,,,,64381920.0,50687443.0,10782506.0,3532659.0,2670552.0,5.15,4.05,0.86,2136.0,1874604.0,0.15
OWID_HIC,,High-income countries,2021-01-29,,,,,,67961985.0,53101764.0,11748133.0,3389865.0,2727715.0,5.43,4.25,0.94,2181.0,1848109.0,0.148
OWID_HIC,,High-income countries,2021-01-30,,,,,,70178318.0,54654437.0,12235515.0,2323623.0,2770254.0,5.61,4.37,0.98,2215.0,1854267.0,0.148
OWID_HIC,,High-income countries,2021-01-31,,,,,,71870575.0,55640159.0,12695963.0,1511736.0,2813863.0,5.75,4.45,1.02,2250.0,1866890.0,0.149
OWID_HIC,,High-income countries,2021-02-01,,,,,,74419069.0,57087078.0,13650358.0,2644112.0,2823511.0,5.95,4.57,1.09,2258.0,1851981.0,0.148
OWID_HIC,,High-income countries,2021-02-02,,,,,,77454358.0,58818756.0,14787578.0,3146921.0,2835573.0,6.19,4.7,1.18,2268.0,1835476.0,0.147
OWID_HIC,,High-income countries,2021-02-03,,,,,,81300019.0,61112300.0,16159554.0,3956343.0,2929562.0,6.5,4.89,1.29,2343.0,1869888.0,0.15
OWID_HIC,,High-income countries,2021-02-04,,,,,,85469522.0,63592411.0,17637462.0,4273561.0,3035421.0,6.83,5.09,1.41,2427.0,1898060.0,0.152
OWID_HIC,,High-income countries,2021-02-05,,,,,,89753623.0,66114139.0,19188550.0,4050966.0,3129938.0,7.18,5.29,1.53,2503.0,1914439.0,0.153
OWID_HIC,,High-income countries,2021-02-06,,,,,,92217936.0,67714464.0,19832816.0,2622444.0,3172554.0,7.37,5.41,1.59,2537.0,1919984.0,0.154
OWID_HIC,,High-income countries,2021-02-07,,,,,,93720243.0,68542130.0,20375580.0,1322253.0,3145421.0,7.49,5.48,1.63,2515.0,1902646.0,0.152
OWID_HIC,,High-income countries,2021-02-08,,,,,,96607895.0,70225582.0,21449748.0,3066634.0,3205874.0,7.73,5.62,1.72,2564.0,1942950.0,0.155
OWID_HIC,,High-income countries,2021-02-09,,,,,,100252199.0,72332834.0,22831866.0,3710218.0,3286794.0,8.02,5.78,1.83,2628.0,1991327.0,0.159
OWID_HIC,,High-income countries,2021-02-10,,,,,,104322637.0,74687539.0,24340434.0,4314464.0,3337653.0,8.34,5.97,1.95,2669.0,2009904.0,0.161
OWID_HIC,,High-income countries,2021-02-11,,,,,,108783748.0,77310399.0,26020358.0,4482960.0,3367423.0,8.7,6.18,2.08,2693.0,2023481.0,0.162
